 4896;BIOENERGETICA VALE DO PARACATU S/A              ;NENHUM              ;MG002;08793343000162;ROD MG 181 KM 85 ESTR.FAZ SAO GERALDO   ;ZONA RURAL          ;38770000;JOAO PINHEIRO       ;MG;BEVAP                                           ;03836726050;
 5074;BIOFLEX AGROINDUSTRIAL S.A.                     ;NENHUM              ;NE003;13808130000288;FAZ SAO JOAO S/N A                      ;ZONA RURAL          ;57240000;SAO MIGUEL CAMPOS   ;AL;BIOFLEX AGROINDUSTRIAL S.A.                     ;08233118380;
 5057;BIOGLOBAL SOLUTION CO., LTD.                    ;NENHUM              ;EX001;13808130000288;399/2 SOL NAWAMIN 111                   ;NAWAMIN BUNGKHUM    ;00000000;BANGKOK - THAILAND  ;XX;BIOGLOBAL SOLUTION CO., LTD.                    ;00000000000;
 3568;BIOSEV BIOENERGIA S.A.                          ;BIOSEV              ;SP010;49213747000117;FAZENDA INVERNADA                       ;ZONA RURAL          ;14640000;MORRO AGUDO         ;SP;BIOSEV - UNIDADE VALE DO ROSARIO                ;01638202000;
 4625;BIOSEV BIOENERGIA S.A.                          ;BIOSEV              ;SP004;49213747009840;RODOVIA ANHANGUERA KM 340               ;ZONA RURAL          ;14680000;JARDINOPOLIS        ;SP;BIOSEV - UNIDADE JARDEST                        ;01636901300;
 4626;BIOSEV BIOENERGIA S.A.                          ;BIOSEV              ;SP010;49213747011828;FAZENDA SANTA ELISA                     ;ZONA RURAL          ;14165428;SERTAOZINHO         ;SP;BIOSEV - UNIDADE SANTA ELISA                    ;01639463900;
 4636;BIOSEV BIOENERGIA S.A.                          ;BIOSEV              ;SP010;49213747011585;FAZENDA SUCURI, S/N                     ;ZONA RURAL          ;14640000;MORRO AGUDO         ;SP;BIOSEV - UNIDADE MB                             ;01638519000;
 4994;BIOSEV BIOENERGIA S.A.                          ;BIOSEV              ;SP010;49213747012980;ROD. BRIGADEIRO FARIA LIMA, KM 458,5    ;ZONA RURAL          ;14795000;COLOMBIA            ;SP;BIOSEV - UNIDADE COLOMBIA                       ;01733358000;
 4097;BIOSEV S.A.                                     ;BIOSEV              ;NE001;15527906000993;FAZENDA IBURA S/N                       ;ZONA RURAL          ;58328000;PEDRAS  DE FOGO     ;PB;BIOSEV - UNIDADE PEDRAS DE FOGO                 ;08336511150;
 4448;BIOSEV S.A.                                     ;BIOSEV              ;SP004;15527906003402;FAZ.SAO CARLOS S/N                      ;ZONA RURAL          ;14870904;JABOTICABAL         ;SP;BIOSEV - UNIDADE JABOTICABAL                    ;01632092500;
