103014;GLENCANE BIOENERGIA SA                  ;;G4 ;68316801000102;EST MUN JUNQUEIROPOLIS SALGADO FILHO,SN ;TAQUARUSSU               ;17890000;JUNQUEIROPOLIS           ;SP ;;
103023;RAIZEN ENERGIA SA                       ;;G4 ;08070508007261;FAZ SANTO ANTONIO, SN                   ;ZONA RURAL               ;17300000;DOIS CORREGOS            ;SP ;;
103042;COSAN SA IND COM                        ;;G4 ;50746577009090;EST MIRANDOPOLIS PACAEMBU, SN           ;MONTE SERRAT             ;16800000;MIRANDOPOLIS             ;SP ;;
103043;COSAN SA IND COM                        ;;G4 ;50746577003050;RUA BAIRRO CAMPESTRE, SN                ;CAMPESTRE                ;13390000;RIO DAS PEDRAS           ;SP ;;
103044;COSAN SA IND COM                        ;;G4 ;50746577003300;FAZ SOBRADO, S N                        ;ZONA RURAL               ;13350000;ELIAS FAUSTO             ;SP ;;
103045;COSAN SA IND COM                        ;;G4 ;50746577003211;ACESSO FAZ DA SERRA, 1                  ;FAZ DA SERRA             ;14815000;IBATE                    ;SP ;;
103046;COSAN SA IND COM                        ;;G4 ;50746577000972;EST CORONEL QUITO, SN                   ;ZONA RURAL               ;14540000;IGARAPAVA                ;SP ;;
103047;COSAN SA IND COM                        ;;G4 ;50746577008957;FAZ BOM RETIRO, SN                      ;ZONA RURAL               ;13360000;CAPIVARI                 ;SP ;;
103064;RAIZEN ENERGIA SA                       ;;G4 ;08070508000330;FAZ PAU D ALHO, SN                      ;ZONA RURAL               ;17340000;BARRA BONITA             ;SP ;;
103065;RAIZEN ENERGIA SA                       ;;G4 ;08070508006613;ROD ELIEZER M MAGALHAES KM 58, SN       ;PQ  INDL ARACATUBA       ;16080603;ARACATUBA                ;SP ;;
103066;RAIZEN ENERGIA SA                       ;;G4 ;08070508006702;ROD DR PLACIDO ROCHA SP 541 KM39  6,SN  ;SAPE                     ;16880000;VALPARAISO               ;SP ;;
103067;RAIZEN ENERGIA SA                       ;;G4 ;08070508006885;ROD ACESSO UHE 3 IRMAOS KM 3, SN        ;ZONA RURAL               ;16900970;ANDRADINA                ;SP ;;
103068;RAIZEN ENERGIA SA                       ;;G4 ;08070508006966;ROD RAPOSO TAVARES KM 334, SN           ;ZONA RURAL               ;18950000;IPAUSSU                  ;SP ;;
103069;RAIZEN ENERGIA SA                       ;;G4 ;08070508006532;ROD BRIG  FARIA LIMA KM 322, SN         ;ZONA RURAL               ;14840000;GUARIBA                  ;SP ;;
103070;RAIZEN ENERGIA SA                       ;;G4 ;08070508007423;ROD WASHINGTON LUIZ KM 263, SN          ;ZONA RURAL               ;14801970;ARARAQUARA               ;SP ;;
103074;ARALCO S A INDUSTRIA E COMERCIO         ;;G4 ;51086080000180;ROD SPV 061,  S N                       ;GENEROSO                 ;16130000;SANTO ANTONIO DO ARACANGU;SP ;;
103111;IND COM IRACEMA LTDA                    ;;G4 ;53906384000172;FAZ PANORAMICA DE ITAI, S N             ;FARRAPOS                 ;18730000;ITAI                     ;SP ;;
103280;COOP AGRIC PROD CANA CAMPO NOVO PARECIS ;;G3 ;15043391000107;ROD BR 364 KM 864,  SN                  ;ZONA RURAL               ;78360000;CAMPO NOVO DO PARECIS    ;MT ;;
103312;ALCOOLVALE S A ALCOOL E ACUCAR          ;;G3 ;15444904000183;ROD BR 158 KM 23, S/N                   ;FAZENDA SANTA INES       ;79570000;APARECIDA DO TABOADO     ;MS ;;
103350;USINA AC STA TEREZINHA LTDA             ;;G1 ;75717355000871;FAZ SAO JOSE,SN                         ;BAIRRO TRES MORRINHOS    ;87980000;TERRA RICA               ;PR ;;
103352;RAIZEN PARAGUACU SA                     ;;G4 ;52189420000161;RUA SITIO PARALCOOL,  SN                ;BREJAO                   ;19700000;PARAGUACU PAULISTA       ;SP ;;
103355;GUARIROBA BIOENERGIA LTDA               ;;G4 ;07398533000112;FAZ GUARIROBA, SN                       ;RURAL                    ;15560000;PONTES GESTAL            ;SP ;;
103374;PEDRA AGROINDUSTRIAL SA                 ;;G4 ;71304687002817;ROD GAL EUCLIDES O FIGUEIREDO, SN       ;ZONA RURAL               ;16940000;NOVA INDEPENDENCIA       ;SP ;;
103375;COFERCATU COOPERATIVA AGROINDUSTRIAL    ;;G1 ;80539612000862;ROD  JOAO LUNARDELLI PR 170, SN         ;ZONA RURAL               ;86165000;FLORESTOPOLIS            ;PR ;;
